ref,line1,line2,line3,town,county,postcode,longitude,latitude
address-sportspark,Sportspark,University of East Anglia,,Norwich,Norfolk,NR4 7TJ,1.240864,52.624459
address-blofield,Margaret Harker Hall,Yarmouth Road,,Norwich,Norfolk,NR13 4LE,1.431169,52.632301
address-townclose,Town Close Prep School,14 Ipswich Road,,Norwich,Norfolk,NR2 2LR,1.283584,52.618785
address-loddon,Hobart High School,Kittens Lane,,Loddon,Norfolk,NR14 6JU,1.480437,52.532775
address-hethersett,Hethersett Old Hall School,,Hethersett,Norwich,Norfolk,NR9 3DW,1.175907,52.592198
address-pangle,Pangle Cottage,Church Path,Wretton,King's Lynn,Norfolk,PE33 9QR,0.4900683,52.5701372
address-drillhall,The Drill Hall,York Road,,Great Yarmouth,Norfolk,NR30 2LZ,1.730765,52.603858
address-becclessc,Beccles Sports Centre,Ringsfield Rd,,Beccles,Norfolk,NR34 9PF,1.558299,52.450308
address-attleborough,Attleborough Sports Hall,Queen's Square,Attleborough,,Norfolk,NR17 2AF,1.017067,52.519586
address-breckland,Breckland Leisure & Waterworld,Croxton Road,,Thetford,Norfolk,IP24 1JD,0.749943,52.42052
address-nhsfg,Norwich High School for Girls,95 Newmarket Road,,Norwich,Norfolk,NR2 2HU,1.275911,52.619226
address-bobcarter,Bob Carter Leisure Centre,School Road,Drayton,Norwich,Norfolk,NR8 6DW,1.22522,52.677275
address-citycollegenorwich,City College Norwich,Ipswich Road,,Norwich,Norfolk,NR2 2LJ,1.286205,52.618083
address-longstratton,Long Stratton Leisure Centre,Swan Lane,,Norwich,Norfolk,NR15 2UY,1.229089,52.491036
address-hellesdon,Hellesdon High School,187 Middletons Lane,,Norwich,Norfolk,NR6 5SB,1.256404,52.6597
address-lynnsport,Lynnsport and Leisure Park,Greenpark Avenue,,King's Lynn,Norfolk,PE30 2NB,0.416638,52.761747
address-kes,King Edward VII High School,Gaywood Road,,King's Lynn,Norfolk,PE30 2QB,0.413542,52.756789
address-sewellpark,Sewell Park College,Saint Clements Hill,,Norwich,Norfolk,NR3 4BX,1.298101,52.648049
address-broadlandhs,Broadland High School,Tunstead Road,Hoveton,Norwich,Norfolk,NR12 8QN,1.413124,52.716766
address-hethersettacad,Hethersett Academy,Queen's Road,,Norwich,Norfolk,NR9 3DB,1.18338,52.599954
address-aylshamhs,Aylsham High School,Sir William's Lane,,Norwich,Norfolk,NR11 6AN,1.259351,52.796529
address-banham,Banham Community Centre,Kenninghall Rd,,Norwich,Norfolk,NR16 2HB,1.031617,52.447988
address-downham,Downham Market Leisure Centre,Bexwell Road,,Downham Market,Norfolk,PE38 9LL,0.38715,52.603197
address-reepham,Reepham High School and College,Whitwell Road,,Reepham,Norfolk,NR10 4JT,1.105637,52.758296
address-wymondham,Wymondham Leisure Centre,Norwich Road,,Wymondham,Norfolk,NR18 0NT,1.11823,52.573516