ref,name,address,published,authorised,private
venue-sportspark,Sportspark,REF-address-sportspark,1,1,0
venue-blofield,Margaret Harker Hall,REF-address-blofield,1,1,0
venue-townclose,Town Close,REF-address-townclose,1,1,0
venue-loddon,Sports Centre,REF-address-loddon,1,1,0
venue-hethersett,Hethersett Old Hall School,REF-address-hethersett,1,1,0
venue-drillhall,The Drill Hall,REF-address-drillhall,1,1,0
venue-becclessc,Beccles Sports Centre,REF-address-becclessc,1,1,0
venue-attleborough,Attleborough Sports Hall,REF-address-attleborough,1,1,0
venue-breckland,Breckland Leisure & Waterworld,REF-address-breckland,1,1,0
venue-nhsfg,Norwich High School for Girls,REF-address-nhsfg,1,1,0
venue-bobcarter,Bob Carter Leisure Centre,REF-address-bobcarter,1,1,0
venue-citycollegenorwich,City College Norwich,REF-address-citycollegenorwich,1,1,0
venue-longstratton,Long Stratton Leisure Centre,REF-address-longstratton,1,1,0
venue-hellesdon,Hellesdon High School,REF-address-hellesdon,1,1,0
venue-lynnsport,Lynnsport and Leisure Park,REF-address-lynnsport,1,1,0
venue-kes,King Edward VII High School,REF-address-kes,1,1,0
venue-sewellpark,Sewell Park College,REF-address-sewellpark,1,1,0
venue-broadlandhs,Broadland High School,REF-address-broadlandhs,1,1,0
venue-hethersettacad,Hethersett Academy,REF-address-hethersettacad,1,1,0
venue-aylshamhs,Aylsham High School,REF-address-aylshamhs,1,1,0
venue-banham,Banham Community Centre,REF-address-banham,1,1,0
venue-downham,Downham Market Leisure Centre,REF-address-downham,1,1,0
venue-reepham,Reepham High School and College,REF-address-reepham,1,1,0
venue-wymondham,Wymondham Leisure Centre,REF-address-wymondham,1,1,0